          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-28;        21;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-29;        32;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-30;        30;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-10-31;        43;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-01;        53;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-02;        52;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-03;        66;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-04;        66;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-05;        59;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-06;        55;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-07;        59;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-08;        74;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-09;        57;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-10;        29;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-11;        34;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-12;        40;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-13;        52;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-14;        62;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-15;        46;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-11-16;        41;   -9999.0
